Incident_ID,Injury,Gender,School_Affiliation,Age,Race
20240221AZCAT,Wounded,Female,No Relation,Adult,
20240220ALPEP,Non-gunshot Injury,Male,Student,Teen,
20240215FLSHC,Non-gunshot Injury,,Student,Child,
20240214GABEA,Wounded,,Student,17,
20240214GABEA,Wounded,,Student,18,
20240214GABEA,Wounded,,Student,17,
20240214GABEA,Wounded,,Student,18,
20240213TNRAM,Non-gunshot Injury,Female,Student,Teen,
20240212OHBEB,Non-gunshot Injury,Male,Student,Teen,
20240212IDCOI,Fatal,,No Relation,,
20240212IDCOI,Wounded,,No Relation,,
20240212IDCOI,Wounded,,No Relation,,
20240212IDCOI,Non-gunshot Injury,,No Relation,,
20240212CAELC,Fatal,Male,No Relation,14,
20240212CAELC,Wounded,Male,No Relation,Teen,
20240211CAMAB,Fatal,Male,No Relation,Adult,
20240209GATRE,Fatal,Male,Student,15,
20240209GATRE,Non-gunshot Injury,Male,Student,Teen,
20240208MDBEB,,Male,Student,Teen,
20240208TNMEN,Fatal,Male,No Relation,16,
20240208TNMEN,Fatal,Male,No Relation,17,
2024207TXKUH,Fatal,Male,No Relation,Adult,
20240206TNNOC,Wounded,,,,
20240201TNHAN,,Male,Student,14,
20240201GAMCP,Wounded,Male,Nonstudent,21,
20240201GAMCP,Wounded,,Nonstudent,Teen,
20240131CADUD,Wounded,Female,Student,Teen,
20240131ILCHC,Fatal,Male,Student,16,
20240131ILCHC,Wounded,Male,Student,16,
20240131ILCHC,Wounded,Male,Student,15,
20240130CAGRS,Wounded,Male,Student,17,
20240130ALLEM,Wounded,Male,Student,15,
20240130ALLEM,Wounded,Male,Student,17,
20240129TXCOA,Wounded,Male,Student,Teen,
20240126ILINC,Fatal,Male,Student,16,Black
20240126ILINC,Fatal,Male,Student,17,Black
20240124TNWEM,Fatal,Male,Parent,24,
20240122ILCIC,Fatal,Male,Student,18,Black
20240122ILCIC,Wounded,Male,Relative,27,Black
20240117MDCHE,Fatal,Male,Other Staff,37,Hispanic
20240113INLAF,Fatal,Male,,Child,
20240112OHROD,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,20,
20240111FLNOM,Wounded,Male,Student,15,
20240111LABOB,Fatal,Male,Student,14,
20240111LABOB,Wounded,Male,Student,13,
20240109TXACH,Fatal,Male,No Relation,Adult,
20240108MSSIS,Wounded,Male,Student,16,
20240104IAPEP,Fatal,Male,Student,11,
20240104IAPEP,Wounded,,Student,,
20240104IAPEP,Wounded,,Student,,
20240104IAPEP,Wounded,,Student,,
20240104IAPEP,Wounded,,Student,,
20240104IAPEP,Fatal,Male,Other Staff,Adult,56
20240104IAPEP,Wounded,,Other Staff,Adult,
20240104IAPEP,Wounded,,Other Staff,Adult,
20240103VAMAM,Wounded,Female,Student,18,
20231226RIEME,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20231220NJKIN,Wounded,,,13,
20231219COLEC,Wounded,,No Relation,,
20231219COLEC,Wounded,,No Relation,,
20231219TXCYK,Fatal,Male,Student,17,
20231208MONOS,Wounded,Female,No Relation,Adult,
20231208VAWOW,Non-gunshot Injury,Male,Student,17,
20231208VAWOW,Non-gunshot Injury,Female,Student,17,
20231208VAWOW,Non-gunshot Injury,,Student,Teen,
20231208NMATA,Fatal,Male,Student,16,
20231205TXNOA,Wounded,Male,Police Officer/SRO,Adult,
20231201OHNOC,Wounded,Male,No Relation,62,
20231201DCKIW,Wounded,Male,Student,17,
20231128TXNOH,Wounded,Male,Student,16,
20231126OHEDD,Wounded,Male,,15,
20231123OHSOC,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,30,
20231119ILURU,Wounded,Male,No Relation,21,
20231116OHSTC,Fatal,Male,No Relation,25,
2023113KYJEL,Non-gunshot Injury,Female,Other Staff,Adult,
20231113NJCEN,Wounded,Male,Student,15,
20231110CAVAV,Wounded,Male,Student,Teen,
20231109NVLAL,Fatal,Male,No Relation,Adult,
20231109ALESA,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Teen,
20231109ALESA,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Teen,
20231103INKII,Fatal,Male,Student,15,
20231102ALSMS,,Male,Student,Teen,
20231102ALSMS,,Female,Other Staff,Adult,
20231030NCRAR,Non-gunshot Injury,,Other Staff,Adult,
20231030NCRAR,Non-gunshot Injury,,Student,Teen,
20231028TXDUS,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20231027LADOD,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20231027LADOD,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20231027MDCAB,Wounded,Male,Student,Teen,
20231027MIDED,Wounded,Male,Student,15,
20231026CALEL,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20231024MDEDW,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Teen,
20231026FLNFJ,Wounded,Female,No Relation,Adult,
20231020FLLIT,Non-gunshot Injury,Male,Student,Teen,
20231019TXNAA,Wounded,Male,Student,Teen,
20231019CAGRF,Wounded,Male,No Relation,15,
20231015OHEAT,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,26,
20231015TXFRD,Fatal,Male,No Relation,30,
20231015TXFRD,Wounded,Male,No Relation,24,
20231013OHCLC,Wounded,Male,Student,15,
20231011CAMAL,Wounded,Male,No Relation,Adult,Latino
20231011FLMIM,Fatal,Male,No Relation,Adult,
20231011TXSEF,Fatal,Female,Other Staff,56,
20231010SCDAD,Fatal,Male,Student,16,
20231006MIOAO,Wounded,Male,Student,Teen,
20231006MIOAO,Wounded,Male,Student,Teen,
20231004COROD,Wounded,Male,Parent,Adult,
20231004GASAS,Wounded,Male,Student,Teen,
20231002CAALL,Wounded,Male,Student,16,
20230930GAGRG,Fatal,Male,Student,14,
20230929NCDUG,Non-gunshot Injury,,,,
20230929NCDUG,Non-gunshot Injury,,,,
20230929NCDUG,Wounded,Female,Student,Teen,
20230929NCDUG,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20230925MDGIB,Fatal,Male,No Relation,15,
20230923OHMAC,,Female,,Adult,
20230922TNWEM,Wounded,Male,Student,13,
20230920ILVOC,Wounded,Male,No Relation,15,
20230919TXKEB,Non-gunshot Injury,Male,Student,10,
20230919FLWOP,Wounded,Male,,Adult,
20230916OHEAC,Wounded,Male,No Relation,21,
20230915ILHIC,Fatal,Male,Student,14,
20230915MDJAB,Wounded,Female,No Relation,14,
20230915MDJAB,Wounded,Male,No Relation,17,
20230913GALAA,Wounded,Female,Parent,Adult,
20230913DCLIW,Wounded,Male,,Adult,
20230912WAEIY,Wounded,Male,Student,14,
20230912LASTG,Fatal,Male,Student,16,
20230912LASTG,Wounded,,Student,Teen,
20230912LASTG,Wounded,,Student,Teen,
20230911MDDUL,Fatal,Female,Student,16,
20230909NYPRU,Wounded,Male,Security Guard,Adult,
20230901MDDUB,Wounded,Male,Student,12,
20230901ILMOC,Wounded,Male,Student,15,
20230901ILMOC,Wounded,Female,Student,16,
20230901LAPOP,Fatal,Male,Student,16,
20230901LAPOP,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,28,
20230831KSWEW,Non-gunshot Injury,,Student,Teen,
20230831KSWEW,Non-gunshot Injury,,Student,Teen,
20230831KSWEW,Non-gunshot Injury,,Student,Teen,
20230831MSBRB,,Male,Student,Child,
20230825CADRL,Wounded,Female,Other Staff,Adult,
20230825OKCHC,Wounded,Female,Student,Teen,
20230825OKCHC,Fatal,Male,Student,16,
20230825OKCHC,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,42,
20230825OKCHC,Non-gunshot Injury,Female,Student,,
20230825OKCHC,Non-gunshot Injury,Female,Student,,
20230824NMRAT,Fatal,Male,,Adult,
20230824VAWAP,Fatal,Male,No Relation,19,
20230824AZPHP,Non-gunshot Injury,,Student,Child,
20230824VAKEV,Wounded,Male,,16,
20230824VAKEV,Wounded,Male,,19,
20230823MDTOT,Wounded,Male,Student,Teen,
20230818GANOK,Wounded,Male,Student,17,
20230818CAETR,Wounded,Male,Student,16,
20230818GAJOJ,Wounded,Male,Student,18,
20230818MSPAP,Wounded,Male,Student,16,
20230816GAJOA,Wounded,Male,Student,Teen,
20230731TNMAM,,Male,Other Staff,Adult,
20230726DCMAW,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,,
20230725TNFRM,Wounded,Male,Security Guard,Adult,
20230725NCJUC,Wounded,Male,No Relation,Adult,
20230724PAJOH,Fatal,Male,No Relation,26,
20230718NYFRB,Fatal,Male,Student,15,
20230716GALOH,Fatal,Female,No Relation,19,
20230714NYKIT,Wounded,Male,No Relation,16,
20230714TXJAS,,Male,No Relation,28,
20230708ALWOB,Fatal,Female,No Relation,20,
